Id,Time[ns],0:I²C: Address/Data
411,346042720.00,Data write: 1B
412,346051800.00,ACK
413,346053140.00,Data write: FF
414,346062180.00,ACK
415,346063540.00,Data write: 1F
416,346072600.00,ACK
417,346073960.00,Data write: C3
418,346083040.00,ACK
419,346084380.00,Data write: 1B
420,346093460.00,ACK
421,346094800.00,Data write: FF
422,346103860.00,ACK
423,346105200.00,Data write: 1F
424,346114260.00,ACK
425,346115620.00,Data write: C3
426,346124700.00,ACK
427,346126040.00,Data write: 1B
428,346135120.00,ACK
429,346136460.00,Data write: FF
430,346145520.00,ACK
431,346146860.00,Data write: 1F
432,346155920.00,ACK
433,346157280.00,Data write: C3
434,346166360.00,ACK
435,346167700.00,Data write: 1B
436,346176780.00,ACK
437,346178120.00,Data write: FF
438,346187180.00,ACK
439,346188520.00,Data write: 1F
440,346197580.00,ACK
441,346198940.00,Data write: C3
442,346208000.00,ACK
443,346209360.00,Data write: 1B
444,346218440.00,ACK
445,346219780.00,Data write: FF
446,346228840.00,ACK
447,346230180.00,Data write: 1F
448,346239240.00,ACK
449,346240600.00,Data write: C3
450,346249660.00,ACK
451,346251020.00,Data write: 1B
452,346260100.00,ACK
453,346261440.00,Data write: FF
454,346270500.00,ACK
455,346271840.00,Data write: 1F
456,346280900.00,ACK
457,346282260.00,Data write: 00
458,346291360.00,ACK
459,346292700.00,Data write: 00
460,346301800.00,ACK
461,346303140.00,Data write: 00
462,346312240.00,ACK
463,346313580.00,Data write: 00
464,346322680.00,ACK
465,346324040.00,Data write: 00
466,346333140.00,ACK
467,346334480.00,Data write: 00
468,346343580.00,ACK
469,346344920.00,Data write: 00
470,346354020.00,ACK
471,346355360.00,Data write: 00
472,346364460.00,ACK
473,346365820.00,Data write: 00
474,346374900.00,ACK
475,346376260.00,Data write: 00
476,346385360.00,ACK
477,346386700.00,Data write: 00
478,346395800.00,ACK
479,346397140.00,Data write: 00
480,346406240.00,ACK
481,346407580.00,Data write: C3
482,346416660.00,ACK
483,346418000.00,Data write: 1B
484,346427080.00,ACK
485,346428420.00,Data write: FF
486,346437480.00,ACK
487,346438840.00,Data write: 1F
488,346447900.00,ACK
489,346449240.00,Data write: C3
490,346458320.00,ACK
491,346459680.00,Data write: 1B
492,346468740.00,ACK
493,346470080.00,Data write: FF
494,346479140.00,ACK
495,346480500.00,Data write: 1F
496,346489560.00,ACK
497,346490900.00,Data write: 00
498,346500000.00,ACK
499,346501360.00,Data write: 00
500,346510440.00,ACK
501,346511800.00,Data write: 00
502,346520900.00,ACK
503,346522240.00,Data write: 00
504,346531340.00,ACK
505,346532680.00,Data write: C3
506,346541760.00,ACK
507,346543100.00,Data write: 1B
508,346552180.00,ACK
509,346553520.00,Data write: FF
510,346562580.00,ACK
511,346563940.00,Data write: 1F
512,346573000.00,ACK
513,346574340.00,Data write: AD
514,346583420.00,ACK
515,346584760.00,Data write: 83
516,346593840.00,ACK
517,346595180.00,Data write: FF
518,346604240.00,ACK
519,346605600.00,Data write: 1F
520,346614660.00,ACK
521,346616580.00,Stop
522,346671100.00,Start
523,346672380.00,Address read: DF
524,346680280.00,Read
525,346681440.00,ACK
526,346682820.00,Data read: 00
527,346691800.00,ACK
528,346692940.00,Data read: 00
529,346701900.00,ACK
530,346703040.00,Data read: 00
531,346711980.00,ACK
532,346713120.00,Data read: 00
533,346722080.00,ACK
534,346723220.00,Data read: 00
535,346732160.00,ACK
536,346733300.00,Data read: 00
537,346742260.00,ACK
538,346743400.00,Data read: 00
539,346752340.00,ACK
540,346753480.00,Data read: 00
541,346762420.00,ACK
542,346763560.00,Data read: 00
543,346772520.00,ACK
544,346773660.00,Data read: 00
545,346782600.00,NACK
546,346784340.00,Stop
547,354715660.00,Start
548,354717060.00,Address write: D6
549,354725020.00,Write
550,354726180.00,ACK
551,354727580.00,Data write: FF
552,354736640.00,ACK
553,354737980.00,Data write: A3
554,354747060.00,ACK
555,354748400.00,Data write: 02
556,354757500.00,ACK
557,354759440.00,Stop
558,356670700.00,Start
559,356671960.00,Address write: D6
560,356679880.00,Write
561,356681040.00,ACK
562,356682400.00,Data write: FF
563,356691460.00,ACK
564,356692800.00,Data write: B7
565,356701860.00,ACK
566,356703220.00,Data write: 5A
567,356712280.00,ACK
568,356714140.00,Stop
569,358670700.00,Start
570,358671960.00,Address write: D6
571,358679860.00,Write
572,358681020.00,ACK
573,358682380.00,Data write: FF
574,358691440.00,ACK
575,358692780.00,Data write: B7
576,358701860.00,ACK
577,358703200.00,Data write: 00
578,358712300.00,ACK
579,358714160.00,Stop
580,373670340.00,Start
581,373671620.00,Address write: D6
582,373679520.00,Write
583,373680680.00,ACK
584,373682040.00,Data write: FF
585,373691100.00,ACK
586,373692440.00,Data write: F0
587,373701520.00,ACK
588,373702860.00,Data write: 20
589,373711960.00,ACK
590,373713300.00,Data write: 20
591,373722400.00,ACK
592,373723740.00,Data write: 02
593,373732840.00,ACK
594,373734180.00,Data write: 02
595,373743280.00,ACK
596,373744620.00,Data write: 19
597,373753700.00,ACK
598,373755060.00,Data write: 29
599,373764120.00,ACK
600,373765480.00,Data write: 19
601,373774560.00,ACK
602,373775900.00,Data write: 29
603,373784980.00,ACK
604,373786840.00,Stop
605,373788700.00,Start
606,373789960.00,Address write: D6
607,373797860.00,Write
608,373799020.00,ACK
609,373800400.00,Data write: FF
610,373809460.00,ACK
611,373810800.00,Data write: F0
612,373819880.00,ACK
613,373821940.00,Start repeat
614,373823220.00,Address read: D7
615,373831120.00,Read
616,373832280.00,ACK
617,373833680.00,Data read: 01
618,373842660.00,NACK
619,373844400.00,Stop
620,375670460.00,Start
621,375671760.00,Address write: D6
622,375679660.00,Write
623,375680820.00,ACK
624,375682220.00,Data write: FF
625,375691280.00,ACK
626,375692620.00,Data write: B4
627,375701700.00,ACK
628,375703060.00,Data write: 00
629,375712140.00,ACK
630,375714020.00,Stop
631,377670200.00,Start
632,377671480.00,Address write: D6
633,377679380.00,Write
634,377680540.00,ACK
635,377681900.00,Data write: FF
636,377690960.00,ACK
637,377692300.00,Data write: A3
638,377701380.00,ACK
639,377702740.00,Data write: 00
640,377711820.00,ACK
641,377713680.00,Stop
642,379670160.00,Start
643,379671420.00,Address write: D6
644,379679320.00,Write
645,379680480.00,ACK
646,379681840.00,Data write: FF
647,379690900.00,ACK
648,379692240.00,Data write: B4
649,379701340.00,ACK
650,379702680.00,Data write: 01
651,379711760.00,ACK
652,379713620.00,Stop
653,5090926220.00,Start
654,5090927620.00,Address write: D6
655,5090935560.00,Write
656,5090936740.00,ACK
657,5090938120.00,Data write: FF
658,5090947180.00,ACK
659,5090948520.00,Data write: A3
660,5090957600.00,ACK
661,5090958940.00,Data write: 02
662,5090968040.00,ACK
663,5090970000.00,Stop
664,5092562680.00,Start
665,5092563940.00,Address write: D6
666,5092571860.00,Write
667,5092573020.00,ACK
668,5092574380.00,Data write: FF
669,5092583440.00,ACK
670,5092584780.00,Data write: B7
671,5092593840.00,ACK
672,5092595200.00,Data write: 5A
673,5092604260.00,ACK
674,5092606120.00,Stop
675,5094562660.00,Start
676,5094563940.00,Address write: D6
677,5094571840.00,Write
678,5094573000.00,ACK
679,5094574360.00,Data write: FF
680,5094583420.00,ACK
681,5094584760.00,Data write: B7
682,5094593840.00,ACK
683,5094595180.00,Data write: 00
684,5094604280.00,ACK
685,5094606140.00,Stop
686,5109562320.00,Start
687,5109563600.00,Address write: D6
688,5109571500.00,Write
689,5109572660.00,ACK
690,5109574020.00,Data write: FF
691,5109583080.00,ACK
692,5109584420.00,Data write: F0
693,5109593500.00,ACK
694,5109594840.00,Data write: 20
695,5109603940.00,ACK
696,5109605280.00,Data write: 20
697,5109614380.00,ACK
698,5109615720.00,Data write: 02
699,5109624820.00,ACK
700,5109626160.00,Data write: 02
701,5109635260.00,ACK
702,5109636600.00,Data write: 19
703,5109645680.00,ACK
704,5109647020.00,Data write: 29
705,5109656100.00,ACK
706,5109657460.00,Data write: 19
707,5109666540.00,ACK
708,5109667880.00,Data write: 29
709,5109676960.00,ACK
710,5109678820.00,Stop
711,5109680680.00,Start
712,5109681940.00,Address write: D6
713,5109689840.00,Write
714,5109691000.00,ACK
715,5109692380.00,Data write: FF
716,5109701440.00,ACK
717,5109702780.00,Data write: F0
718,5109711860.00,ACK
719,5109713920.00,Start repeat
720,5109715200.00,Address read: D7
721,5109723100.00,Read
722,5109724260.00,ACK
723,5109725660.00,Data read: 01
724,5109734640.00,NACK
725,5109736380.00,Stop
726,5111562440.00,Start
727,5111563740.00,Address write: D6
728,5111571660.00,Write
729,5111572820.00,ACK
730,5111574200.00,Data write: FF
731,5111583260.00,ACK
732,5111584600.00,Data write: B4
733,5111593680.00,ACK
734,5111595020.00,Data write: 00
735,5111604120.00,ACK
736,5111606000.00,Stop
737,5113562180.00,Start
738,5113563460.00,Address write: D6
739,5113571360.00,Write
740,5113572520.00,ACK
741,5113573880.00,Data write: FF
742,5113582940.00,ACK
743,5113584280.00,Data write: A3
744,5113593360.00,ACK
745,5113594700.00,Data write: 00
746,5113603800.00,ACK
747,5113605660.00,Stop
748,5115562140.00,Start
749,5115563400.00,Address write: D6
750,5115571300.00,Write
751,5115572460.00,ACK
752,5115573820.00,Data write: FF
753,5115582880.00,ACK
754,5115584220.00,Data write: B4
755,5115593300.00,ACK
756,5115594660.00,Data write: 01
757,5115603740.00,ACK
758,5115605600.00,Stop
759,5122561980.00,Start
760,5122563260.00,Address write: DE
761,5122571160.00,Write
762,5122572320.00,ACK
763,5122573680.00,Data write: AC
764,5122582760.00,ACK
765,5122584620.00,Stop
766,5123562000.00,Start
767,5123563280.00,Address write: DE
768,5123571180.00,Write
769,5123572340.00,ACK
770,5123573700.00,Data write: AC
771,5123582780.00,ACK
772,5123584640.00,Stop
773,5124561940.00,Start
774,5124563200.00,Address write: DE
775,5124571120.00,Write
776,5124572280.00,ACK
777,5124573640.00,Data write: AC
778,5124582700.00,ACK
779,5124584560.00,Stop
780,5125561960.00,Start
781,5125563240.00,Address write: DE
782,5125571140.00,Write
783,5125572300.00,ACK
784,5125573660.00,Data write: AC
